Speaker,Consonant,prox_cog,prox_sd,prox_kurt,prox_skew,prox_cog_mid,prox_sd_mid,prox_kurt_mid,prox_skew_mid,prox_dur,prox_closure,prox_vot,prox_amp
FF1,c,556.0608151850847,694.1933859913029,2.107176497357088,0.6280639744118407,NA,NA,NA,NA,69.28999052699108,13.4975592686163,65.54924535448228,6.685573369267889
FF1,ɟ,982.8274026229565,219.5750532521538,15.40274903083499,0.8571486021942867,NA,NA,NA,NA,32.18871779490265,21.42614888103917,80.4879948435827,7.601906722599452
FF1,θ,3843.291159375204,1338.6013624823713,51.15561103881643,4.095953045419707,71.87625783437034,742.8277622671271,0.1815496775898905,1.2589044881226688,21.75723500979467,NA,NA,NA
FF1,ð,1163.8742101323182,1587.0737734653894,133.21948789094859,3.9154530937359944,1035.8692074834435,331.5438085569672,2.2401269400033677,48.23473434458723,37.99024502281257,NA,NA,NA
FF1,ç,2413.845777492488,564.6301902669409,27.551608409981178,2.675564130469388,278.0362567186048,64.0461430302621,0.08791790873408889,0.054293609551706146,22.13540313249493,NA,NA,NA
FF1,ʝ,706.0414648194802,475.2017989306769,21.526530062109856,1.7744814187416296,811.8935798307311,304.75096187621557,0.1143712055661168,3.0274888316950808,32.72714416718509,NA,NA,NA
FF1,x,345.8325937843581,499.4780593741648,45.19403763640728,2.459250270967975,926.9657846496939,510.12352474290947,0.46859907732206607,3.669496317492663,26.275533939240958,NA,NA,NA
FF1,ɣ,321.6502192739243,661.0292353975232,91.38280008827277,2.7282013325448826,137.0774841236596,35.16640379222031,0.17270801214647502,68.80968158294814,12.627754058304035,NA,NA,NA
FF2,c,462.18535141684515,223.07344490150626,0.36686976928028137,0.09688282152713978,NA,NA,NA,NA,1.9348397341345844,9.509407496122407,0.8057980355077063,2.953289155824699
FF2,ɟ,1140.4765650684376,414.1605386701194,32.38386288743137,2.3880124312134705,NA,NA,NA,NA,21.769817248672148,5.956134603266179,36.096933752016156,9.757262708906866
FF2,θ,922.7593815677278,696.3018612409651,51.21701226596485,3.2707144316300267,668.1718710071063,438.8861021006737,0.09308630470310392,1.430241113308154,33.165849214476054,NA,NA,NA
FF2,ð,1810.4346090583258,2431.9587064219563,304.24094748756903,8.579763860082792,3430.294734455541,896.6669863173711,2.9919303065583196,52.6643378124415,21.52448434885636,NA,NA,NA
FF2,ç,2701.3955460723314,499.4180612580333,28.488412347203273,3.2169835379091114,662.2990132363311,255.92112933309045,0.15035341986314354,0.26211939443026755,37.309604629539166,NA,NA,NA
FF2,ʝ,489.9649421528171,173.4526098964334,285.58757201526805,3.695197089404692,237.93816035015743,1088.5759132845965,2.6918123921414367,43.89340259106885,9.978749117831782,NA,NA,NA
FF2,x,329.4357805641814,373.1000910928176,60.6407519030576,3.168091434024463,998.8847943844457,682.996070380424,0.7701914811444166,7.626608628704371,16.10795734645332,NA,NA,NA
FF2,ɣ,486.39980781461696,887.1703321610424,243.4206250071063,6.553698316120689,1086.544620476809,782.5004081912982,5.353632938633596,110.38661764046532,39.63534348670822,NA,NA,NA
FM1,c,615.2013703707762,142.78516128640103,0.12290620973683719,0.2962316610265868,NA,NA,NA,NA,23.952515634416656,9.742392182904752,24.13439196310199,6.873545712294443
FM1,ɟ,216.52173166030707,190.4984093580715,14.3778894554755,0.5724232527832944,NA,NA,NA,NA,8.034227386595575,26.0498569663731,129.8134402763823,5.672297591911448
FM1,θ,2942.9527614485896,2163.226380603413,55.01144246322895,4.2518395167267204,283.1217168452449,598.6288205526685,0.09906094291364326,1.327123828266544,29.030943276009765,NA,NA,NA
FM1,ð,749.1883751078703,588.8342687210164,157.82526141173872,2.452791736473582,72.53878089306954,216.08155981926848,2.100111120825618,65.64407612870251,32.66066117295016,NA,NA,NA
FM1,ç,1522.6608576893905,75.04222225866124,24.26465914118201,2.755172996094427,292.2017628024214,14.11898802567157,0.01457773261657258,0.6359096613383131,4.078058757099768,NA,NA,NA
FM1,ʝ,1678.0436335182526,516.9389301339572,151.7032620384436,0.6507272642876458,1064.7757017527088,368.1348742845721,2.6632985177007007,75.42855293905322,3.7397578603542314,NA,NA,NA
FM1,x,1148.0554676873696,1096.6261072357993,72.1590386541333,4.398841128128792,393.5838972217048,283.17525479647657,0.11761247221614957,0.09568285464753945,5.18409801400847,NA,NA,NA
FM1,ɣ,1062.0522293058887,1679.5369581810155,289.49243083849814,9.043254573262878,2262.755328667108,1925.325874106714,6.392905627698528,116.81200329470832,13.517809834947201,NA,NA,NA
FM2,c,300.1580253611146,651.3926937441875,0.6746678288456969,0.5349901130953558,NA,NA,NA,NA,6.300308991771146,30.841089064688532,59.14533247021115,2.4289311677585483
FM2,ɟ,579.3644832796949,2.359086807915901,13.425212125735728,0.5871005575513673,NA,NA,NA,NA,0.393436988080623,35.0920914768748,15.859688511017254,5.2464831603302855
FM2,θ,5413.475758767766,1755.623104710396,54.156991029287965,5.065542786636194,2304.66686311415,227.0019870598985,0.1063303304243739,0.05903274744465037,8.85808792514311,NA,NA,NA
FM2,ð,297.8344710264987,518.4073455160615,324.8264779286909,5.60985772573326,997.4487557233516,603.1727586444235,3.7799104223270916,120.34162097852185,0.3477689984273269,NA,NA,NA
FM2,ç,1914.280618281336,328.27634852076085,27.549465309797252,2.88095539406151,302.1518315864705,172.50966917314872,0.06208475972589356,0.0222698277669664,28.87261152374279,NA,NA,NA
FM2,ʝ,376.72247954294255,589.0752853906607,301.5225314109879,5.973690638971894,999.0563755151406,707.3509729860125,2.27521238863693,48.8444047293936,30.080612726212962,NA,NA,NA
